example_id                                         | status | run_time        |
./spec/services/rate_limiter_spec.rb[1:4:2]        | passed | 0.00122 seconds |
./spec/services/rate_limiter_spec.rb[1:4:3]        | passed | 0.0014 seconds  |
./spec/services/rate_limiter_spec.rb[1:5:1]        | passed | 0.00149 seconds |
./spec/services/sync_evaluator_spec.rb[1:1:1:1]    | passed | 0.00138 seconds |
./spec/services/sync_evaluator_spec.rb[1:1:2:1]    | passed | 0.00182 seconds |
./spec/services/sync_evaluator_spec.rb[1:1:3:1]    | passed | 0.00129 seconds |
./spec/services/sync_evaluator_spec.rb[1:2:1]      | passed | 0.00041 seconds |
./spec/services/sync_rules_engine_spec.rb[1:1:1:1] | passed | 0.00228 seconds |
./spec/services/sync_rules_engine_spec.rb[1:1:1:2] | passed | 0.00358 seconds |
./spec/services/sync_rules_engine_spec.rb[1:1:1:3] | passed | 0.00258 seconds |
./spec/services/sync_rules_engine_spec.rb[1:1:2:1] | passed | 0.0036 seconds  |
./spec/services/sync_rules_engine_spec.rb[1:1:2:2] | passed | 0.00424 seconds |
./spec/services/sync_rules_engine_spec.rb[1:1:2:3] | passed | 0.00276 seconds |
./spec/services/sync_rules_engine_spec.rb[1:1:3:1] | passed | 0.00215 seconds |
./spec/services/sync_rules_engine_spec.rb[1:1:3:2] | passed | 0.0032 seconds  |
./spec/services/sync_rules_engine_spec.rb[1:1:4:1] | passed | 0.00192 seconds |
./spec/services/sync_rules_engine_spec.rb[1:2:1:1] | passed | 0.00227 seconds |
./spec/services/sync_rules_engine_spec.rb[1:2:2:1] | passed | 0.00532 seconds |
./spec/services/sync_rules_engine_spec.rb[1:2:3:1] | passed | 0.0021 seconds  |
./spec/services/sync_rules_engine_spec.rb[1:2:4:1] | passed | 0.00344 seconds |
./spec/services/sync_rules_engine_spec.rb[1:2:4:2] | passed | 0.00329 seconds |
./spec/services/sync_rules_engine_spec.rb[1:2:5:1] | passed | 0.00249 seconds |
./spec/services/sync_rules_engine_spec.rb[1:2:6:1] | passed | 0.00244 seconds |
./spec/workers/sync_worker_spec.rb[1:1:1:1]        | passed | 0.20067 seconds |
./spec/workers/sync_worker_spec.rb[1:1:2:1]        | passed | 0.00428 seconds |
./spec/workers/sync_worker_spec.rb[1:1:3:1]        | passed | 0.00152 seconds |
./spec/workers/sync_worker_spec.rb[1:2:1]          | passed | 0.00331 seconds |
./spec/workers/sync_worker_spec.rb[1:2:2]          | passed | 0.00282 seconds |
